Data,Rt - ISS
2020-08-08,0.958699506495372
2020-08-09,0.961303546619379
2020-08-10,0.957635546651537
2020-08-11,0.958070447468341
2020-08-12,0.941918384525811
2020-08-13,0.944279771828776
2020-08-14,0.960530590448432
2020-08-15,0.988164480716787
2020-08-16,1.04391472954627
2020-08-17,1.18109817082429
2020-08-18,1.32127913084558
2020-08-19,1.39709361410866
2020-08-20,1.43197206213025
2020-08-21,1.46726162672745
2020-08-22,1.44593116321226
2020-08-23,1.42688271320124
2020-08-24,1.35435575541599
2020-08-25,1.26537664428214
2020-08-26,1.20084416039911
2020-08-27,1.14126159769866
2020-08-28,1.08197403966564
2020-08-29,1.01268231735017
2020-08-30,0.939677065948939
2020-08-31,0.900630134646579
2020-09-01,0.920822214238627
2020-09-02,0.923898190850056
2020-09-03,0.929431388343941
2020-09-04,0.946131257503811
2020-09-05,0.973805944820207
2020-09-06,0.994752138159571
2020-09-07,1.05283199773802
2020-09-08,1.02956326618624
2020-09-09,1.02869905363055
2020-09-10,1.05660360455856
2020-09-11,1.04535584417333
2020-09-12,1.05181548111389
2020-09-13,1.05250399792667
2020-09-14,1.05098331972712
2020-09-15,1.07954912304652
2020-09-16,1.09489011404727
2020-09-17,1.09596577595181
2020-09-18,1.11583633642603
2020-09-19,1.13288302904166
2020-09-20,1.15638944292782
2020-09-21,1.14509826461697
2020-09-22,1.12909275847498
2020-09-23,1.11316980521674
2020-09-24,1.0883079344987
2020-09-25,1.09153957356504
2020-09-26,1.08626357628237
2020-09-27,1.09153481821175
2020-09-28,1.13823069955817
2020-09-29,1.16426309105139
2020-09-30,1.26020401175231
2020-10-01,1.43155384542573
2020-10-02,1.53471530270741
2020-10-03,1.63174164724759
2020-10-04,1.67980463330234
2020-10-05,1.7615869626594
2020-10-06,1.7902696564749
2020-10-07,1.80138956219903
2020-10-08,1.76443369094416
2020-10-09,1.75316811792148
2020-10-10,1.75497811847826
2020-10-11,1.70132619040124
2020-10-12,1.71906908021879
2020-10-13,1.71626528619845
2020-10-14,1.69807008266858
2020-10-15,1.6931064984912
2020-10-16,1.69401529407621
2020-10-17,1.66000226198242
2020-10-18,1.65057104117671
2020-10-19,1.6479037932346
2020-10-20,1.67057891183008
2020-10-21,1.64571266043608
2020-10-22,1.60141160748684
2020-10-23,1.56470041724688
2020-10-24,1.52143843389965
2020-10-25,1.48559364806184
2020-10-26,1.46419061708802
2020-10-27,1.40493844040534
2020-10-28,1.3799977629456
2020-10-29,1.34537049427707
2020-10-30,1.30952566885212
2020-10-31,1.25670039459058
2020-11-01,1.2447866717042
2020-11-02,1.22394297846159
2020-11-03,1.19479307087618
2020-11-04,1.16669807072253
2020-11-05,1.14820598500982
2020-11-06,1.1325318846925
2020-11-07,1.12843128709611
2020-11-08,1.08473590638947
2020-11-09,1.05938024652035
2020-11-10,1.05608670865702
2020-11-11,1.02958891378154
2020-11-12,1.00660436876174
2020-11-13,0.988134174536846
2020-11-14,0.973893663074176
2020-11-15,0.965124096030121
2020-11-16,0.941482378234037
2020-11-17,0.904222975387509
2020-11-18,0.894354014629317
2020-11-19,0.867920425245476
2020-11-20,0.853181713578265
2020-11-21,0.826118382500308
2020-11-22,0.799898005682114
2020-11-23,0.782439330773217
2020-11-24,0.776008885650324
2020-11-25,0.767076059983983
2020-11-26,0.7756639535171
2020-11-27,0.768726996882715
2020-11-28,0.788835679509413
2020-11-29,0.79595205140404
2020-11-30,0.810233745014131
2020-12-01,0.85060673298132
2020-12-02,0.867780425582067
2020-12-03,0.884595192469454
2020-12-04,0.901863773791769
2020-12-05,0.907103445554884
2020-12-06,0.921734249787305
2020-12-07,0.91935581865174
2020-12-08,0.889585903804614
2020-12-09,0.895120672618603
2020-12-10,0.911721692686403
2020-12-11,0.907448382274651
2020-12-12,0.919472178035103
2020-12-13,0.935927889588529
2020-12-14,0.954449857344397
2020-12-15,0.975360061945104
2020-12-16,0.974202024821962
2020-12-17,0.962009088397724
2020-12-18,0.970294689830991
2020-12-19,0.969594045271289
2020-12-20,0.996474246559958
2020-12-21,0.993741246948198
2020-12-22,1.00360039901573
2020-12-23,1.01910884872792
2020-12-24,1.04490543481101
2020-12-25,1.04179680364481
2020-12-26,1.06433738979009
2020-12-27,1.0811308036622
2020-12-28,1.11956619677016
2020-12-29,1.12187405062813
2020-12-30,1.11809938522696
2020-12-31,1.10142523165312
2021-01-01,1.11395712498124
2021-01-02,1.10328836405033
2021-01-03,1.07804630986641
2021-01-04,1.05607503103623
2021-01-05,1.04399054709624
2021-01-06,1.01122717661087
2021-01-07,0.992929184473693
2021-01-08,0.960883049816648
2021-01-09,0.927589605849881
2021-01-10,0.900543132497621
2021-01-11,0.855536299726027
2021-01-12,0.823400564928226
